Lfd. Nr.;AHB;"Beschreibung des Anwendungsfalls aus dem AHB (EDIFACT)
API-Webservice (API)";Prüfidentifikator;Reaktion auf Prüfidentifikator;Prozessbeschreibung;"Prozessschritt aus 
Kapitel";Bezeichnung aus Sequenzdiagramm;Prozessschritt aus Sequenzdiagramm;Aktion;Kommunikation von;Kommunikation an;Zuordnung zu einem Objekt;Zuordnung zu einem Geschäftsvorfall;Erweiterte Zuordnung;Objekteigenschaft;Sparte Strom;"Sparte 
Gas";Übertragungsweg;Fußnote;Meilenstein;"Kommunikation von : 
Auslösende Events";"Kommunikation von: 
Lesende Schnittstellen";"Kommunikation von: 
Schreibende Schnittstellen";"Kommunikation an: 
Lesende Schnittstellen";"Kommunikation an: 
Schreibende Schnittstellen"
26070;PARTIN AHB;Übermittlung Kommunikationsparameter;37007;--;GPKE Teil 4;4.2;Übermittlung von Informationen;1;Information;LF;MSB;--;--;--;--;X;--;AS4;;2;START_PARTIN;LESEN_KOMMUNIKATIONSDATEN_BASIS;zu definieren, falls Rückmeldung an BE notwendig (DAR o.ä.);;AKTUALISIEREN_KOMMUNIKATIONSDATEN_BASIS
26080;UTILMD AHB Strom;Anfrage nach Stornierung;55022;--;GPKE Teil 4;5;Stornierung und Rückabwicklung;;--;"Beteiligte wie bei Ursprungsnachricht
";Beteiligte wie bei Ursprungsnachricht;--;ZG-T26;--;--;X;--;AS4;;2;;;;;
26090;UTILMD AHB Strom;Bestätigung Anfrage Stornierung;55023;--;GPKE Teil 4;5;Stornierung und Rückabwicklung;;--;"Empfänger einer Stornierungsanfrage
";Sender einer Stornierungsanfrage;--;ZG-T1;--;--;X;--;AS4;;2;;;;;
26100;UTILMD AHB Strom;Ablehnung Anfrage Stornierung;55024;--;GPKE Teil 4;5;Stornierung und Rückabwicklung;;--;"Empfänger einer Stornierungsanfrage
";Sender einer Stornierungsanfrage;--;ZG-T1;--;--;X;--;AS4;;2;;;;;
30000;UTILMD AHB Strom;Kündigung MSB;55039;--;WiM Strom Teil 1;;Kündigung Messstellenbetrieb;1;Kündigung;MSB (entspricht MSBN am Objekt Messlokation);MSB (entspricht MSBA am Objekt Messlokation);ZO-F1;--;--;--;X;--;AS4;;4;;;;;
30010;UTILMD AHB Strom;Bestätigung Kündigung MSB;55040;--;WiM Strom Teil 1;;Kündigung Messstellenbetrieb;2;Antwort der Kündigung;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30020;UTILMD AHB Strom;Ablehnung Kündigung MSB;55041;--;WiM Strom Teil 1;;Kündigung Messstellenbetrieb;2;Antwort der Kündigung;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30030;--;--;--;--;WiM Strom Teil 1;;Kündigung Messstellenbetrieb;3;ref Ende Messstellenbetrieb;MSB (entspricht MSBA am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30040;--;--;--;--;WiM Strom Teil 1;;Kündigung Messstellenbetrieb;4;ref Beendigung der Übermittlung von Werten an ESA durch MSB;MSB (entspricht MSBA am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30050;UTILMD AHB Strom;Anmeldung MSB;55042;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;1;Anmeldung;MSBN;NB;ZO-F1;--;--;--;X;--;AS4;;4;;;;;
30060;UTILMD AHB Strom;Bestätigung Anmeldung MSB;55043;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;2;Antwort auf Anmeldung;NB;MSBN;--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30070;UTILMD AHB Strom;Ablehnung Anmeldung MSB;55044;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;2;Antwort auf Anmeldung;NB;MSBN;--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30080;IFTSTA AHB;Statusmeldung;21007;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;3;Information über vorläufige Anmeldebestätigung;NB;MSBA;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30090;IFTSTA AHB;Statusmeldung;21007;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;4;Information über vorläufige Anmeldebestätigung;NB;LF;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30100;--;--;--;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;5;ref Gerätewechsel;MSBN;--;--;--;--;--;X;--;--;;4;;;;;
30110;--;--;--;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;6;ref Geräteübernahme;MSBN;--;--;--;--;--;X;--;--;;4;;;;;
30120;IFTSTA AHB;Statusmeldung;21009;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;7;Mitteilung über Gesamtvorgang;MSBN;NB;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30130;IFTSTA AHB;Statusmeldung;21010;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;7;Mitteilung über Gesamtvorgang;MSBN;NB;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30140;IFTSTA AHB;Statusmeldung;21011;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;8;Antwort auf Mitteilung über Gesamtvorgang;NB;MSBN;--;ZG-T45;--;--;X;--;AS4;;4;;;;;
30150;IFTSTA AHB;Statusmeldung;21012;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;8;Antwort auf Mitteilung über Gesamtvorgang;NB;MSBN;--;ZG-T45;--;--;X;--;AS4;;4;;;;;
30160;--;--;--;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;9;ref Stammdatenänderung vom NB (verantwortlich) ausgehend;NB;--;--;--;--;--;X;--;--;;4;;;;;
30170;--;--;--;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;10;ref Übermittlung der Berechnungsformel;NB;--;--;--;--;--;X;--;--;;4;;;;;
30180;--;--;--;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;11;ref Beendigung der Übermittlung von Werten an ESA durch MSB;MSBA;--;--;--;--;--;X;--;--;;4;;;;;
30190;--;--;--;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;12;ref Beendigung einer Konfiguration vom MSB;MSBA;--;--;--;--;--;X;--;--;;4;;;;;
30200;--;--;--;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;13;ref Bestellung Beendigung einer Konfiguration an MSB;MSBA;--;--;--;--;--;X;--;--;;4;;;;;
30210;IFTSTA AHB;Statusmeldung;21011;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;14;Information über Scheitern der Zuordnung;NB;MSBA;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30220;IFTSTA AHB;Statusmeldung;21011;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;15;Information über Scheitern der Zuordnung;NB;LF;--;ZO-T11;--;--;X;--;AS4;;4;;;;;
30230;IFTSTA AHB;Statusmeldung;21013;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;16;Mitteilung über das Scheitern des Gesamtvorgangs;NB;MSBN;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30240;IFTSTA AHB;Statusmeldung;21013;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;16;Mitteilung über das Scheitern des Gesamtvorgangs;NB;MSBN;--;ZO-T11;--;--;X;--;AS4;;4;;;;;
30250;IFTSTA AHB;Statusmeldung;21013;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;17;Information über Scheitern der Zuordnung;NB;MSBA;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30260;IFTSTA AHB;Statusmeldung;21013;--;WiM Strom Teil 1;;Beginn Messstellenbetrieb;18;Information über Scheitern der Zuordnung;NB;LF;--;ZO-T11;--;--;X;--;AS4;;4;;;;;
30270;UTILMD AHB Strom;Ende MSB;55051;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;1;Abmeldung;MSB (entspricht MSBA am Objekt Messlokation);NB;ZO-F1;--;--;--;X;--;AS4;;4;;;;;
30280;UTILMD AHB Strom;Bestätigung Ende MSB;55052;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;2;Antwort auf Abmeldung;NB;MSB (entspricht MSBA am Objekt Messlokation);--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30290;UTILMD AHB Strom;Ablehnung Ende MSB;55053;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;2;Antwort auf Abmeldung;NB;MSB (entspricht MSBA am Objekt Messlokation);--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30300;UTILMD AHB Strom;Verpflichtungsanfrage / Aufforderung;55168;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;3;Verpflichtungs-anfrage;NB;MSB (entspricht gMSB am Objekt Messlokation);ZO-T28;--;--;--;X;--;AS4;;4;;;;;
30310;UTILMD AHB Strom;"Bestätigung Verpflichtungsanfrage
";55169;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;4;Antwort auf Verpflichtungs-anfrage;MSB (entspricht gMSB am Objekt Messlokation);NB;--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30320;UTILMD AHB Strom;Ablehnung Verpflichtungsanfrage;55170;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;4;Antwort auf Verpflichtungs-anfrage;MSB (entspricht gMSB am Objekt Messlokation);NB;--;ZG-T1;--;--;X;--;AS4;;4;;;;;
30330;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Weiterverpflichtung;17002;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;5;Weiterverpflichtung des MSB;NB;MSB (entspricht MSBA am Objekt Messlokation);ZO-T15;--;--;--;X;--;AS4;;4;;;;;
30340;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestätigung Weiterverpflichtung;19003;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;6;Antwort auf Weiter-verpflichtung;MSB (entspricht MSBA am Objekt Messlokation);NB;--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30350;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Weiterverpflichtung;19004;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;6;Antwort auf Weiter-verpflichtung;MSB (entspricht MSBA am Objekt Messlokation);NB;--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30360;UTILMD AHB Strom;Verpflichtungsanfrage / Aufforderung;55168;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;7;Aufforderung zur Übernahme der einzelnen Messlokation durch den gMSB;NB;MSB (entspricht gMSB am Objekt Messlokation);ZO-T28;--;--;--;X;--;AS4;;4;;;;;
30370;--;--;--;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;8;ref Verpflichtung gMSB;MSB (entspricht gMSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30380;--;--;--;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;9;ref Stammdatenänderung vom NB (verantwortlich) ausgehend;NB;--;--;--;--;--;X;--;--;;4;;;;;
30390;--;--;--;--;WiM Strom Teil 1;;Ende Messstellenbetrieb;10;ref Verpflichtung gMSB;MSB (entspricht gMSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30400;--;--;--;--;WiM Strom Teil 1;;Verpflichtung gMSB;1;ref Gerätewechsel;MSB (entspricht gMSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30410;--;--;--;--;WiM Strom Teil 1;;Verpflichtung gMSB;2;ref Geräteübernahme;MSB (entspricht gMSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30420;IFTSTA AHB;Statusmeldung;21010;--;WiM Strom Teil 1;;Verpflichtung gMSB;3;Bestätigung der Übernahme des Messstellenbetriebes;MSB (entspricht gMSB am Objekt Messlokation);NB;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30430;IFTSTA AHB;Statusmeldung;21018;--;WiM Strom Teil 1;;Verpflichtung gMSB;4;Information über Neuzuordnung;NB;MSB (entspricht MSBA am Objekt Messlokation);ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30440;--;--;--;--;WiM Strom Teil 1;;Verpflichtung gMSB;5;ref Stammdatenänderung vom NB (verantwortlich) ausgehend;NB;--;--;--;--;--;X;--;--;;4;;;;;
30450;--;--;--;--;WiM Strom Teil 1;;Verpflichtung gMSB;6;ref Übermittlung der Berechnungsformel;NB;--;--;--;--;--;X;--;--;;4;;;;;
30460;--;--;--;--;WiM Strom Teil 1;;Verpflichtung gMSB;7;ref Beendigung der Übermittlung von Werten an ESA durch MSB;MSB (entspricht MSBA am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30470;--;--;--;--;WiM Strom Teil 1;;Verpflichtung gMSB;8;ref Beendigung einer Konfiguration vom MSB;MSB (entspricht MSBA am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30480;--;--;--;--;WiM Strom Teil 1;;Verpflichtung gMSB;9;ref Bestellung Beendigung einer Konfiguration an MSB;MSB (entspricht MSBA am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30490;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Anzeige Gerätewechselabsicht;17009;--;WiM Strom Teil 1;;Gerätewechsel;1;Anzeige Geräte-wechselabsicht;MSB (entspricht MSBN am Objekt Messlokation);MSB (entspricht MSBA am Objekt Messlokation);ZO-T15;--;--;--;X;--;AS4;;4;;;;;
30500;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestätigung Gerätewechselabsicht ;19015;--;WiM Strom Teil 1;;Gerätewechsel;2;Antwort;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30510;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Gerätewechselabsicht ;19016;--;WiM Strom Teil 1;;Gerätewechsel;2;Antwort;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30520;IFTSTA AHB;Statusmeldung;21010;--;WiM Strom Teil 1;;Gerätewechsel;3;Zeitpunkt Übernahme des Messstellenbetriebs;MSB (entspricht MSBN am Objekt Messlokation);MSB (entspricht MSBA am Objekt Messlokation);ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30530;--;--;--;--;WiM Strom Teil 1;;Gerätewechsel;4;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB (entspricht MSBN am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30540;MSCONS AHB;Zählerstand (Strom);13017;--;WiM Strom Teil 1;;Gerätewechsel;5;Zählerstand und Zeitpunkt des Geräteausbaus;MSB (entspricht MSBN am Objekt Messlokation);MSB (entspricht MSBA am Objekt Messlokation);--;--;EZ-01;--;X;--;AS4;;4;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
30550;IFTSTA AHB;Statusmeldung;21036;--;WiM Strom Teil 1;;Gerätewechsel;6;Zeitpunkt des Geräteausbaus;MSB (entspricht MSBN am Objekt Messlokation);MSB (entspricht MSBA am Objekt Messlokation);ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30560;--;--;--;--;WiM Strom Teil 1;;Gerätewechsel;7;ref Aufbereitung und Übermittlung von Werten vom MSB der Messlokation;MSB (entspricht MSBN am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30570;--;--;--;--;WiM Strom Teil 1;;Gerätewechsel;8;ref Aufbereitung und Übermittlung von Werten vom MSB der Messlokation;MSB (entspricht MSBA am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30580;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Anfrage Geräteübernahmeangebot;35001;--;WiM Strom Teil 1;;Geräteübernahme;1;Anforderung Geräteübernahme-angebot;MSB (entspricht MSBN am Objekt Messlokation);MSB (entspricht MSBA am Objekt Messlokation);ZO-T17;--;--;--;X;--;AS4;;4;;;;;
30590;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Angebot Geräteübernahme;15001;--;WiM Strom Teil 1;;Geräteübernahme;2;Geräteübernahme-angebot;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;ZG-T16;--;--;X;--;AS4;;4;;;;;
30600;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Geräteübernahmeangebot;17001;--;WiM Strom Teil 1;;Geräteübernahme;3;Bestellung;MSB (entspricht MSBN am Objekt Messlokation);MSB (entspricht MSBA am Objekt Messlokation);--;ZG-T24;--;--;X;--;AS4;;4;;;;;
30610;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;"Bestätigung Bestellung
";19001;--;WiM Strom Teil 1;;Geräteübernahme;4;Bestellbestätigung;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30620;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Bestellung;19002;--;WiM Strom Teil 1;;Geräteübernahme;4;Bestellbestätigung;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30630;MSCONS AHB;Zählerstand (Strom);13017;--;WiM Strom Teil 1;;Geräteübernahme;5;Zählerstand zur Geräteübernahme;MSB (entspricht MSBA am Objekt Messlokation);MSB (entspricht MSBN am Objekt Messlokation);--;--;EZ-01;--;X;--;AS4;;4;START_ZAEHLERSTAND;LESEN_ENERGIEMENGE_ZAEHLERSTAND;Rückgabe DAR falls notwendig;"LESEN_MARKTLOKATION_BASIS
LESEN_MESSLOKATIONS_BASIS
LESEN_NETZLOKATION_BASIS
LESEN_TRANCHE_BASIS";ERSTELLEN_ENERGIEMENGE_ZAEHLERSTAND
30640;--;--;--;--;WiM Strom Teil 1;;Geräteübernahme;6;ref Aufbereitung und Übermittlung von Werten vom MSB der Messlokation;MSB (entspricht MSBN am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30650;--;--;--;--;WiM Strom Teil 1;;Geräteübernahme;7;ref Aufbereitung und Übermittlung von Werten vom MSB der Messlokation;MSB (entspricht MSBA am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30660;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Beauftragung Änderung Technik;17003;--;WiM Strom Teil 1;;Messlokationsänderung vom NB an MSB;1;Beauftragung Änderung;NB;MSB (entspricht MSB am Objekt Messlokation);ZO-T15;--;--;--;X;--;AS4;;4;;;;;
30670;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestätigung Auftrag Änderung Technik;19005;--;WiM Strom Teil 1;;Messlokationsänderung vom NB an MSB;2;Antwort;MSB (entspricht MSB am Objekt Messlokation);NB;--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30680;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Auftrag Änderung Technik;19006;--;WiM Strom Teil 1;;Messlokationsänderung vom NB an MSB;2;Antwort;MSB (entspricht MSB am Objekt Messlokation);NB;--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30690;--;--;--;--;WiM Strom Teil 1;;Messlokationsänderung vom NB an MSB;3;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB (entspricht MSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30700;--;--;--;--;WiM Strom Teil 1;;Messlokationsänderung vom NB an MSB;4;ref Aufbereitung und Übermittlung von Werten vom MSB der Messlokation;MSB (entspricht MSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30710;IFTSTA AHB;Statusmeldung;21027;--;WiM Strom Teil 1;;Messlokationsänderung vom NB an MSB;5;Scheitern der Änderung;MSB (entspricht MSB am Objekt Messlokation);NB;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30720;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Beauftragung Änderung Technik;17003;--;WiM Strom Teil 1;;Messlokationsänderung vom LF an MSB;1;Beauftragung Änderung;LF;MSB (entspricht MSB am Objekt Messlokation);ZO-T15;--;--;--;X;--;AS4;;4;;;;;
30730;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestätigung Auftrag Änderung Technik;19005;--;WiM Strom Teil 1;;Messlokationsänderung vom LF an MSB;2;Antwort;MSB (entspricht MSB am Objekt Messlokation);LF;--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30740;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Ablehnung Auftrag Änderung Technik;19006;--;WiM Strom Teil 1;;Messlokationsänderung vom LF an MSB;2;Antwort;MSB (entspricht MSB am Objekt Messlokation);LF;--;ZG-T14;--;--;X;--;AS4;;4;;;;;
30750;--;--;--;--;WiM Strom Teil 1;;Messlokationsänderung vom LF an MSB;3;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB (entspricht MSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30760;--;--;--;--;WiM Strom Teil 1;;Messlokationsänderung vom LF an MSB;4;ref Aufbereitung und Übermittlung von Werten vom MSB der Messlokation;MSB (entspricht MSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30770;IFTSTA AHB;Statusmeldung;21025;--;WiM Strom Teil 1;;Messlokationsänderung vom LF an MSB;5;Scheitern der Änderung;MSB (entspricht MSB am Objekt Messlokation);LF;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30780;IFTSTA AHB;Vorabinformation;21029;--;WiM Strom Teil 1;;Ersteinbau einer mME in eine bestehende Messlokation;1;Vorabinformation zum Gerätewechsel;MSB (entspricht gMSB am Objekt Messlokation);LF;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30790;IFTSTA AHB;Vorabinformation;21029;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;1;Vorabinformation zum Gerätewechsel;MSB (entspricht gMSB am Objekt Messlokation);MSB (entspricht wMSB am Objekt Messlokation);ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30800;IFTSTA AHB;iMS-Ersteinbauzust.;21030;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;2;Information Bestandsschutz / Eigenausbau iMS;MSB (entspricht wMSB am Objekt Messlokation);MSB (entspricht gMSB am Objekt Messlokation);--;ZG-T11;--;--;X;--;AS4;;4;;;;;
30810;IFTSTA AHB;Bestandss. / Eigenausbau iMS;21031;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;2;Information Bestandsschutz / Eigenausbau iMS;MSB (entspricht wMSB am Objekt Messlokation);MSB (entspricht gMSB am Objekt Messlokation);--;ZG-T11;--;--;X;--;AS4;;4;;;;;
30820;IFTSTA AHB;Vorabinformation;21029;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;3;Vorabinformation zum Gerätewechsel;MSB (entspricht gMSB am Objekt Messlokation);LF;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30830;IFTSTA AHB;Vorabinformation;21029;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;4;Vorabinformation zum Gerätewechsel;MSB (entspricht gMSB am Objekt Messlokation);NB;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30840;--;--;--;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;5;ref Stammdatenänderung vom MSB (verantwortlich) ausgehend;MSB (entspricht wMSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30850;IFTSTA AHB;Statusmeldung;21027;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;6;Information über Scheitern des Gerätewechsels;MSB (entspricht wMSB am Objekt Messlokation);MSB (entspricht gMSB am Objekt Messlokation);ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30860;--;--;--;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;7;ref Beginn Messstellenbetrieb;MSB (entspricht gMSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30870;--;--;--;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;8;ref Beginn Messstellenbetrieb;MSB (entspricht gMSB am Objekt Messlokation);--;--;--;--;--;X;--;--;;4;;;;;
30880;IFTSTA AHB;Statusmeldung;21025;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;9;Information kein Gerätewechsel auf iMS;MSB (entspricht gMSB am Objekt Messlokation);LF;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30890;IFTSTA AHB;Statusmeldung;21027;--;WiM Strom Teil 1;;Ersteinbau eines iMS in eine bestehende Messlokation;10;Information kein Gerätewechsel auf iMS;MSB (entspricht gMSB am Objekt Messlokation);NB;ZO-T11;--;--;--;X;--;AS4;;4;;;;;
30900;PRICAT AHB;Preisblatt Messstellenbetrieb / Konfigurationen;27002;--;WiM Strom Teil 1;;Übermittlung Preisblatt MSB an LF;1;Preisblatt;MSB;LF;--;Wenn SG1 RFF+ACW gefüllt ZG-T17, wenn SG1 RFF+ACW nicht vorhanden –;--;--;X;--;AS4;;4;;;;;
30910;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Angebot Abrechnung Messstellenbetrieb MSB;15002;--;WiM Strom Teil 1;;Angebot zur Rechnungsabwicklung des Messstellenbetriebes über den LF durch den MSB;1;Angebot zur Rechnungs-abwicklung des Messstellenbetriebes über den LF;MSB (entspricht MSB am Objekt Marktlokation);LF;ZO-T18;--;--;--;X;--;AS4;;4;;;;;
30920;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Bestellung Rechnungsabwicklung MSB über LF;17005;--;WiM Strom Teil 1;;Angebot zur Rechnungsabwicklung des Messstellenbetriebes über den LF durch den MSB;2;Antwort auf das Angebot;LF;MSB (entspricht MSB am Objekt Marktlokation);--;ZG-T24;--;--;X;--;AS4;;4;;;;;
30930;IFTSTA AHB;Antwort auf das Angebot;21032;--;WiM Strom Teil 1;;Angebot zur Rechnungsabwicklung des Messstellenbetriebes über den LF durch den MSB;2;Antwort auf das Angebot;LF;MSB (entspricht MSB am Objekt Marktlokation);--;ZG-T27;--;--;X;--;AS4;;4;;;;;
30940;--;--;--;--;WiM Strom Teil 1;;Angebot zur Rechnungsabwicklung des Messstellenbetriebes über den LF durch den MSB;3;ref Beendigung Rechnungsabwicklung des Messstellenbetriebes über den LF durch den MSB;MSB (entspricht MSB am Objekt Marktlokation);--;--;--;--;--;X;--;--;;4;;;;;
30950;REQOTE / QUOTES / ORDERS / ORDRSP / ORDCHG AHB;Beendigung Rechnungsabwicklung MSB über LF;17006;--;WiM Strom Teil 1;;Beendigung Rechnungsabwicklung des Messstellenbetriebes über den LF durch den MSB;1;Beendigung Rechnungs-abwicklung des Messstellenbetriebes über den LF;MSB (entspricht MSB am Objekt Marktlokation);LF;ZO-T15;--;--;--;X;--;AS4;;4;;;;;
